Location,Metric,CY20,CY21,CY22,CY23
"CA-523 Colusa, Glenn, Trinity Counties CoC",PIT Count,261,N/A,340,360
CA-524 Yuba City & County/Sutter County CoC,PIT Count,721,N/A,1094,963
CA-525 El Dorado County CoC,PIT Count,663,N/A,511,491
"CA-526 Amador, Calaveras, Mariposa, Tuolumne Counties CoC",PIT Count,834,N/A,625,731
CA-527 Tehama County CoC,PIT Count,300,N/A,291,304
CA-529 Lake County CoC,PIT Count,357,N/A,339,460
"CA-530 Alpine, Inyo, Mono Counties CoC",PIT Count,184,N/A,140,88
CA-531 Nevada County CoC,PIT Count,387,N/A,527,492
CA-600 Los Angeles City & County CoC,PIT Count,63706,N/A,65111,71320
CA-601 San Diego City & County CoC,PIT Count,7638,N/A,8427,10264
"CA-602 Santa Ana, Anaheim/Orange County CoC",PIT Count,6978,N/A,5718,6050
CA-603 Santa Maria/Santa Barbara County CoC,PIT Count,1897,N/A,1962,1887
CA-604 Bakersfield/Kern County CoC,PIT Count,1580,N/A,1603,1948
CA-606 Long Beach CoC,PIT Count,2034,N/A,3296,3447
CA-607 Pasadena CoC,PIT Count,527,N/A,512,556
CA-608 Riverside City & County CoC,PIT Count,2884,N/A,3316,3725
CA-609 San Bernardino City & County CoC,PIT Count,3125,N/A,3333,4195
"CA-611 Oxnard, San Buenaventura/Ventura County CoC",PIT Count,1787,N/A,2248,2441
CA-612 Glendale CoC,PIT Count,169,N/A,225,195
CA-613 Imperial County CoC,PIT Count,1527,N/A,1057,1303
CA-614 San Luis Obispo County CoC,PIT Count,1423,N/A,1448,1532
Los Angeles County,PIT Count,66436,N/A,69144,75518
