CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",25-34,111
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",35-44,95
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",45-54,66
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",55-64,87
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",65+,24
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Invalid,*
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Under 18,114
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Unknown,85
2018,CA-517,Napa County CoC,18-24,67
2018,CA-517,Napa County CoC,25-34,175
2018,CA-517,Napa County CoC,35-44,169
2018,CA-517,Napa County CoC,45-54,167
2018,CA-517,Napa County CoC,55-64,179
2018,CA-517,Napa County CoC,65+,38
2018,CA-517,Napa County CoC,Under 18,138
2018,CA-518,Solano County CoC,18-24,55
2018,CA-518,Solano County CoC,25-34,159
2018,CA-518,Solano County CoC,35-44,130
2018,CA-518,Solano County CoC,45-54,128
2018,CA-518,Solano County CoC,55-64,172
2018,CA-518,Solano County CoC,65+,52
2018,CA-518,Solano County CoC,Invalid,*
2018,CA-518,Solano County CoC,Under 18,224
